Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R8,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,159.2,-79.3,180,top
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,176.9,-89.8,0,top
R10,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,192.2,-74,0,top
R11,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,179.4,-36,180,top
R12,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,179.9,-28.2,180,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,176.7,-36.8,270,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,179.4,-37.7,0,top
R15,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162.6,-31.9,180,top
R16,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162.4,-34,180,top
R17,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162.5,-37.8,180,top
R18,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162.6,-28.2,180,top
R19,82k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157.9,-32.1,90,top
R20,82k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.9,-31,90,top
R21,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157,-27.2,0,top
R22,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,157,-25.3,180,top
R23,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,144.9,-23.9,180,top
R24,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,144.9,-26,0,top
R25,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,182.3,-24.3,180,top
R26,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,182.3,-26,0,top
R27,270,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,186.6,-85.7,270,top
R28,5.1k,R_0603_1608Metric,214.9,-70.6,0,top
R29,5.1k,R_0603_1608Metric,214.9,-72.5,0,top
RV1,10k,Potentiometer_Bourns_TC33X_Vertical,212.8,-37.3,180,top
U1,AMS1117-5.0,SOT-223-3_TabPin2,164.4,-65,270,top
U2,ATMEGA328P-AU-L-ATMEGA328P-AU,TQFP-32_7x7mm_P0.8mm,184.5,-62.4,0,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,150,-64.3,270,top
U6,Si5351A,MSOP-10_3x3mm_P0.5mm,157.9,-45.5,0,top
U8,74HC244,TSSOP-20_4.4x6.5mm_P0.65mm,188.1,-30.2,0,top
U9,3253,TSSOP-16_4.4x5mm_P0.65mm,169.3,-31.6,0,top
U10,LM4562,SOIC-8_3.9x4.9mm_P1.27mm,151.3,-32.2,0,top
Y1,20Mhz,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,176,-64.7,0,top
Y2,26Mhz,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,150.4,-44.9,270,top
